nazwa-zmienna,id-zmienna,id-przekroj,id-okres
Wskaźniki cen towarów i usług konsumpcyjnych,305,739,256
Przewidywana produkcja,168,797,254
Wskaźnik ufności koniunktury gospodarczej – handel detaliczny,186,16,251
Import towarów wg kraju wysyłki,222,1194,260
Wskaźnik zatrudnienia - BAEL (do 2020 r.),370,221,272
Saldo obrotów towarowych wg kraju wysyłki,183,1246,282
Bieżąca produkcja,140,956,252
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy zagraniczny,176,819,258
Import towarów wg kraju pochodzenia,221,1198,256
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,256
Przewidywane nakłady inwestycyjne - handel,172,955,248
Wolne miejsca pracy,426,45,273
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,796,257
Relacje ceny skupu 1 kg żywca wieprzowego do cen produktów rolnych,321,783,253
Dzieci w rodzinnych domach dziecka,262,714,282
Import towarów wg kraju wysyłki,222,1199,282
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,786,252
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,268
Saldo obrotów towarowych wg kraju wysyłki,183,1144,265
Saldo obrotów towarowych wg kraju wysyłki,183,1194,268
Eksport towarów,220,1116,255
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,262
Import towarów wg kraju pochodzenia,221,1194,269
Wskaźniki cen towarów i usług konsumpcyjnych,305,909,264
Przewidywana produkcja,168,801,251
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,261
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1261,250
Wskaźniki cen transakcyjnych w handlu zagranicznym,328,773,265
Eksport towarów,220,1136,252
Udzielone noclegi w turystycznych obiektach noclegowych,94,1304,252
Wskaźnik zatrudnienia - BAEL (do 2020 r.),370,1164,272
Pracujący w sektorze przedsiębiorstw,377,1242,256
Relacje cen detalicznych do cen skupu,319,784,248
Saldo obrotów towarowych wg kraju wysyłki,183,1194,249
Mieszkania oddane do użytkowania,381,102,247
Przewidywane zatrudnienie,174,803,254
Import towarów wg kraju pochodzenia,221,1243,256
Małżeństwa na 1000 ludności,29,429,282
Małżeństwa na 1000 ludności,29,16,250
Opóźnienia płatności,158,801,255
