nazwa-zmienna,id-zmienna,id-przekroj,id-okres
Bieżąca produkcja,140,751,247
Przeciętne ceny produktów rolnych uzyskiwane przez rolników na targowiskach,317,779,256
Eksport towarów,220,1115,269
Opóźnienia płatności,158,799,252
Import towarów wg kraju wysyłki,222,1246,263
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,834,248
Wskaźniki cen towarów i usług konsumpcyjnych,305,908,269
Renty socjalne,290,16,248
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,247
Przewidywane ceny,171,776,257
Import towarów wg kraju wysyłki,222,1115,249
Wskaźniki cen towarów i usług konsumpcyjnych,305,739,282
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,1259,253
Źródła finansowania inwestycji - leasing,194,751,329
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,786,251
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,282
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,16,270
Ekspozycje galerii sztuki,116,1020,282
Saldo obrotów towarowych wg kraju wysyłki,183,1199,256
Ceny detaliczne towarów żywnościowych,303,740,250
Import towarów wg kraju pochodzenia,221,1115,258
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,936,256
Liczba emerytów i rencistów,283,1192,263
Przewidywane ceny,171,777,256
Renty socjalne,290,16,262
Wskaźniki cen produkcji sprzedanej przemysłu,314,658,256
Mieszkania, których budowę rozpoczęto,383,16,268
Import towarów wg kraju pochodzenia,221,1199,252
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,936,252
Źródła finansowania inwestycji - kredyt bankowy krajowy,192,801,329
Saldo obrotów towarowych wg kraju wysyłki,183,1116,260
Saldo obrotów towarowych wg kraju pochodzenia,223,1246,256
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,751,253
Bieżąca sprzedaż,137,798,255
Przewidywany popyt,179,777,256
Placówki stacjonarne pomocy społecznej,275,617,282
Eksport towarów,220,1198,268
Turyści korzystający z turystycznych obiektów noclegowych,93,179,282
Bieżący popyt - usługi,143,961,256
Eksport towarów,220,1243,249
Saldo obrotów towarowych wg kraju pochodzenia,223,1198,267
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,2,252
Saldo obrotów towarowych wg kraju wysyłki,183,1199,269
Wskaźnik wolumenu w obrotach handlu zagranicznego w eksporcie,227,789,269
Import towarów wg kraju pochodzenia,221,1194,268
Mieszkania oddane do użytkowania,381,102,269
Wskaźniki cen towarów i usług konsumpcyjnych,305,909,265
Saldo obrotów towarowych wg kraju wysyłki,183,1136,255
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy zagraniczny,176,819,253
Sprzedaż detaliczna towarów,109,827,269
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,803,248
Średnie ceny lokali mieszkalnych sprzedanych w ramach transakcji rynkowych,308,485,273
Przewidywany popyt,179,958,251
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,757,250
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,277
Eksport towarów,220,1198,248
Import towarów wg kraju pochodzenia,221,1144,263
Saldo obrotów towarowych wg kraju wysyłki,183,1198,247
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,777,258
Bieżący stan zapasów towarów - handel,147,796,256
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,254
Ceny producentów wyrobów spożywczych,313,655,256
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,776,247
Zatrudnieni według badania struktury wynagrodzeń,403,34,324
Wskaźniki cen towarów i usług konsumpcyjnych,305,908,257
Bieżąca sprzedaż,137,777,250
Saldo obrotów towarowych wg kraju pochodzenia,223,1198,251
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,249
Bariery działalności w usługach,136,818,257
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,786,248
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,249
Import towarów wg kraju pochodzenia,221,1194,264
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,262
Import towarów wg kraju wysyłki,222,1115,269
Wskaźniki cen produkcji budowlano-montażowej,312,93,257
Bariery działalności w handlu,134,815,255
Eksport towarów,220,1243,255
Mieszkania, których budowę rozpoczęto,383,16,269
Wskaźniki cen produkcji sprzedanej przemysłu,314,657,248
Bieżąca sytuacja finansowa przedsiębiorstwa,141,960,258
Wskaźniki cen produkcji sprzedanej przemysłu,314,658,262
Przewidywane zamówienia u dostawców - handel,173,757,258
Dzieci w placówkach wychowania przedszkolnego,456,948,282
Powierzchnia składowa magazynów handlowych,105,835,331
Bezrobotni - BAEL (do 2020 r.),367,1164,272
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,268
Opiekunowie w placówkach opieki nad dziećmi do lat 3,247,571,282
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,935,254
Przeciętna miesięczna emerytura i renta brutto wypłacona przez ZUS,6,16,259
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,834,249
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,102,267
Wskaźniki cen towarów i usług konsumpcyjnych,305,908,264
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,260
Nakłady wewnętrzne na działalność badawczą i rozwojową w relacji do produktu krajowego brutto,407,58,282
Import towarów wg kraju pochodzenia,221,1136,267
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,2,255
Wskaźnik ufności koniunktury gospodarczej – budownictwo,185,16,249
Pracujący w sektorze przedsiębiorstw,377,2,251
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,102,266
Saldo obrotów towarowych wg kraju pochodzenia,223,1246,263
Przewidywana sprzedaż,169,777,252
Bieżąca sprzedaż,137,798,248
Przewidywana produkcja,168,801,256
Wskaźnik ufności koniunktury gospodarczej – przetwórstwo przemysłowe,187,16,251
Obecna możliwość oszczędzania pieniędzy,470,16,249
Powierzchnia użytkowa nowych budynków zbiorowego zamieszkania oraz nowych budynków niemieszkalnych, na których budowę wydano pozwolenia,389,115,276
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,248
Eksport towarów,220,1115,248
Import towarów wg kraju wysyłki,222,1199,261
Przeciętna miesięczna kwota świadczeń rodzinnych,298,39,282
Eksport towarów,220,1115,266
Import towarów wg kraju pochodzenia,221,1243,263
Sprzedaż detaliczna towarów,109,827,263
Import towarów wg kraju wysyłki,222,1198,282
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,267
Ceny producentów wyrobów spożywczych,313,655,255
Przewidywana sytuacja finansowa przedsiębiorstwa,170,777,251
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,252
Bieżący zagraniczny portfel zamówień (strumień) - przetwórstwo przemysłowe,149,751,249
Import towarów wg kraju wysyłki,222,1144,261
Bieżący popyt - usługi,143,787,256
Mieszkania oddane do użytkowania,381,16,254
Renty socjalne,290,16,257
Przewidywana produkcja,168,956,252
Przewidywane ceny,171,803,247
Saldo obrotów towarowych wg kraju wysyłki,183,1246,255
Bierni zawodowo - BAEL (do 2020 r.),368,221,272
Przewidywana sytuacja finansowa przedsiębiorstwa,170,803,250
Bieżący stan zapasów wyrobów gotowych - przetwórstwo przemysłowe,148,2,257
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,956,252
Eksport towarów,220,1246,282
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,2,248
Eksport towarów,220,1199,249
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,256
Zasiłki z ubezpieczenia społecznego,289,16,257
Przewidywane zamówienia u dostawców - handel,173,757,250
Pracujący społecznie w organizacjach non-profit,84,366,323
Eksport towarów,220,1199,247
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,253
Przewidywane zatrudnienie,174,803,247
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,2,252
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,786,256
Opóźnienia płatności,158,801,257
Saldo obrotów towarowych wg kraju wysyłki,183,1194,260
Przyłącza kanalizacyjne prowadzące do budynków mieszkalnych,215,156,282
Pracujący w gospodarce narodowej,397,317,249
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,16,254
Pracujący - BAEL (do 2020 r.),1,1170,270
Opóźnienia płatności,158,751,248
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,273
Przeciętna miesięczna emerytura i renta brutto wypłacona przez ZUS,6,16,247
Sprzedaż hurtowa towarów,110,832,262
Ceny detaliczne towarów żywnościowych,303,740,249
Mieszkania, których budowę rozpoczęto,383,16,273
Wskaźnik wolumenu w obrotach handlu zagranicznego w imporcie,228,789,252
Opóźnienia płatności,158,957,248
Mieszkania oddane do użytkowania,381,16,248
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,796,247
Wskaźnik ufności koniunktury gospodarczej – przetwórstwo przemysłowe,187,16,258
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,751,253
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,247
Import towarów wg kraju wysyłki,222,1144,259
Bieżący stan zapasów wyrobów gotowych - przetwórstwo przemysłowe,148,2,258
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,250
Wskaźnik ogólnego klimatu koniunktury,184,776,250
Import towarów wg kraju wysyłki,222,1246,248
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,253
Saldo obrotów towarowych wg kraju wysyłki,183,1243,250
Saldo obrotów towarowych wg kraju wysyłki,183,1198,248
Pozycja przedsiębiorstwa wobec konkurencji na innych rynkach zagranicznych poza krajami Unii Europejskiej - przetwórstwo przemysłowe,160,796,250
Przewidywany popyt,179,798,255
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,270
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,249
Przewidywana sprzedaż,169,798,257
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,12,247
Kwota świadczeń społecznych brutto,4,16,248
Przewidywana produkcja,168,805,255
Bieżący popyt - usługi,143,819,251
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,956,249
Sprzedaż detaliczna towarów,109,826,282
Bariery działalności w przetwórstwie przemysłowym,135,811,250
Mieszkania oddane do użytkowania,381,16,256
Przewidywane zamówienia u dostawców - handel,173,757,252
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,259
Wydane gazety,128,576,282
Saldo obrotów towarowych wg kraju wysyłki,183,1246,268
Przewidywana sprzedaż,169,777,249
Renty socjalne,290,16,265
Wydatki budżetu państwa,153,1114,282
Wycieczki Polskiego Towarzystwa Turystyczno-Krajoznawczego,394,147,282
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,2,255
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,757,254
Saldo obrotów towarowych wg kraju pochodzenia,223,1246,269
Zagwarantowany okres działania przedsiębiorstwa - usługi,190,787,249
Pracujący w gospodarce narodowej,397,974,282
Przewidywana sprzedaż,169,958,258
Zasiłki i świadczenia przedemerytalne,291,16,269
Przewidywana sprzedaż,169,777,253
Mieszkania oddane do użytkowania,381,16,262
Kwota świadczeń emerytalno-rentowych,285,1192,252
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy krajowy,175,787,256
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,777,258
Wskaźnik ufności koniunktury gospodarczej – przetwórstwo przemysłowe,187,16,249
Bieżąca produkcja,140,751,256
Kwota świadczeń emerytalno-rentowych,285,1192,257
Import towarów wg kraju wysyłki,222,1136,267
Bieżący zagraniczny portfel zamówień (strumień) - przetwórstwo przemysłowe,149,786,258
Import towarów wg kraju pochodzenia,221,1246,254
Saldo obrotów towarowych wg kraju pochodzenia,223,1144,263
Wskaźniki cen produkcji sprzedanej przemysłu,314,658,267
Wskaźnik ufności koniunktury gospodarczej – budownictwo,185,16,258
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,960,255
Eksport towarów,220,1116,250
Wartość usług nabytych,226,906,282
Małżeństwa na 1000 ludności,29,429,278
Saldo obrotów usługowych,224,906,282
Przewidywany popyt,179,798,252
Wskaźnik ogólnego klimatu koniunktury,184,777,251
Mieszkania oddane do użytkowania,381,118,267
Źródła finansowania inwestycji - leasing,194,801,329
Studenci otrzymujący stypendia,448,986,282
Placówki opieki nad dziećmi do lat 3,244,549,282
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,960,256
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,776,257
Eksport towarów,220,1246,247
Import towarów wg kraju pochodzenia,221,1246,250
Bariery działalności w usługach,136,818,252
Import towarów wg kraju pochodzenia,221,1246,263
Import towarów wg kraju pochodzenia,221,1136,257
Zasiłki i świadczenia przedemerytalne,291,16,266
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy krajowy,175,819,251
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,751,250
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,110,282
Bieżący wskaźnik ufności konsumenckiej (BWUK),469,16,255
Przewidywane ceny,171,803,251
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,257
Saldo obrotów towarowych wg kraju wysyłki,183,1115,253
Źródła finansowania środków obrotowych w działalności handlowej - środki własne,196,757,257
Eksport towarów,220,1194,248
Bieżąca produkcja,140,797,250
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,956,255
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,264
Przeciętne miesięczne wynagrodzenie brutto w gospodarce narodowej,398,234,282
Personel w działalności badawczej i rozwojowej,409,73,282
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,751,258
Saldo obrotów towarowych wg kraju wysyłki,183,1136,269
Nakłady wewnętrzne na działalność badawczą i rozwojową,406,59,282
Wskaźniki cen skupu produktów rolnych,324,775,253
Wynagrodzenia brutto w gospodarce narodowej,402,161,282
Przewidywane zatrudnienie,174,959,249
Sprzedaż detaliczna towarów,109,827,267
Przyrost naturalny na 1000 ludności,24,16,257
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,776,255
Bariery działalności w usługach,136,818,251
Kwota świadczeń emerytalno-rentowych,285,1192,265
Obecna możliwość oszczędzania pieniędzy,470,16,271
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,256
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,247
Przewidywane nakłady inwestycyjne - handel,172,955,253
Wskaźnik ufności koniunktury gospodarczej – usługi,188,16,247
Bieżący popyt - usługi,143,819,256
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,253
Saldo obrotów towarowych wg kraju wysyłki,183,1116,253
Przewidywana produkcja,168,805,253
Stopień wykorzystania miejsc noclegowych w turystycznych obiektach noclegowych,95,1297,270
Produkcja budowlano-montażowa,392,93,260
Import towarów wg kraju pochodzenia,221,1116,265
Wskaźniki cen towarów i usług konsumpcyjnych,305,16,258
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1261,254
Wskaźniki cen produkcji sprzedanej przemysłu,314,657,266
Wskaźnik ogólnego klimatu koniunktury,184,776,248
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,16,271
Przyrost naturalny,18,16,253
Udzielone noclegi w turystycznych obiektach noclegowych,94,1303,282
Saldo obrotów towarowych wg kraju pochodzenia,223,1198,253
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1242,250
Podmioty w działalności badawczej i rozwojowej w zakresie nanotechnologii,460,16,282
Bezrobotni - BAEL (do 2020 r.),367,221,272
Import towarów wg kraju wysyłki,222,1198,250
Bieżący stan zapasów wyrobów gotowych - przetwórstwo przemysłowe,148,751,255
Mieszkania oddane do użytkowania,381,102,267
Eksport towarów,220,1199,269
Przewidywana sytuacja finansowa przedsiębiorstwa,170,751,253
Saldo obrotów towarowych wg kraju wysyłki,183,1198,257
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,12,249
Dzieci w rodzinnej pieczy zastępczej,260,611,282
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,786,249
Eksport towarów,220,1144,265
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,252
Wskaźnik wolumenu w obrotach handlu zagranicznego w eksporcie,227,789,251
Saldo obrotów towarowych wg kraju wysyłki,183,1115,264
Stacje paliw,107,688,282
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,751,258
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,264
Bieżący stan zapasów towarów - handel,147,757,252
Przewidywane zatrudnienie,174,959,256
Import towarów wg kraju wysyłki,222,1198,258
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,786,253
Import towarów wg kraju wysyłki,222,1199,268
Zasiłki i świadczenia przedemerytalne,291,16,249
Przeciętne miesięczne wynagrodzenie brutto w sferze budżetowej,399,16,276
Rodziny zastępcze,258,720,282
Personel w działalności badawczej i rozwojowej,409,90,282
Renty socjalne,290,16,254
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,272
Bieżąca produkcja,140,805,249
Import towarów wg kraju wysyłki,222,1136,248
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,269
Wskaźnik zatrudnienia - BAEL (do 2020 r.),370,221,282
Przewidywane zamówienia u dostawców - handel,173,757,248
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,757,253
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,544,255
Udzielone noclegi w turystycznych obiektach noclegowych,94,178,282
Import towarów wg kraju pochodzenia,221,1194,247
Bieżąca sprzedaż,137,798,253
Przewidywana sprzedaż,169,798,249
Mieszkania w budowie,382,16,269
Opóźnienia płatności,158,801,249
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy krajowy,175,787,248
Bieżący portfel zamówień na rynku krajowym - budownictwo,146,2,248
Zasiłki i świadczenia przedemerytalne,291,16,268
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,786,258
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,16,255
Wskaźnik zatrudnienia - BAEL (do 2020 r.),370,221,271
Saldo obrotów towarowych wg kraju wysyłki,183,1115,282
Wskaźniki cen towarów i usług konsumpcyjnych,305,909,258
Saldo obrotów towarowych wg kraju wysyłki,183,1116,251
Bieżąca sprzedaż,137,798,247
Personel w działalności badawczej i rozwojowej,409,80,282
Liczba emerytów i rencistów,283,1192,252
Obecne dokonywanie ważnych zakupów,471,16,255
Bieżąca produkcja,140,801,247
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,270
Wskaźniki cen produkcji sprzedanej wyrobów przemysłowych,315,656,260
Miejsca w domach studenckich,445,16,282
Sprzedaż detaliczna towarów,109,849,272
Przewidywany portfel zamówień na rynku krajowym - budownictwo,181,796,252
Wskaźniki cen importu i eksportu,329,772,253
Przeciętna miesięczna emerytura i renta brutto rolników indywidualnych,288,16,258
Sprzedaż detaliczna towarów,109,849,258
Wskaźniki cen produkcji sprzedanej przemysłu,314,658,260
Saldo obrotów towarowych wg kraju pochodzenia,223,1136,269
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,2,254
Import towarów wg kraju pochodzenia,221,1115,255
Nakłady wewnętrzne na działalność badawczą i rozwojową,406,76,282
Eksport towarów,220,1246,251
Wskaźniki cen towarów i usług konsumpcyjnych,305,739,252
Bierni zawodowo - BAEL (do 2020 r.),368,1163,270
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,248
Saldo obrotów towarowych wg kraju pochodzenia,223,1115,263
Aktywni zawodowo - BAEL (do 2020 r.),366,1164,273
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,264
Pracujący na podstawie umów cywilnoprawnych w organizacjach non-profit,86,350,322
Saldo obrotów towarowych wg kraju wysyłki,183,1199,254
Wskaźniki cen produktów rolnych uzyskiwanych przez rolników na targowiskach,323,781,255
Opóźnienia płatności,158,957,247
Przyrost naturalny,18,16,252
Pozycja przedsiębiorstwa wobec konkurencji na rynkach zagranicznych wewnątrz Unii Europejskiej - przetwórstwo przemysłowe,161,796,247
Bieżący portfel zamówień krajowy i zagraniczny (strumień) - przetwórstwo przemysłowe,144,786,250
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,757,258
Bieżąca produkcja,140,751,253
Sprzedaż detaliczna towarów,109,849,250
Pracujący społecznie w organizacjach non-profit,84,340,322
Saldo obrotów towarowych wg kraju wysyłki,183,1246,269
Wykorzystanie mocy produkcyjnych przedsiębiorstwa,189,801,257
Eksport towarów,220,1144,255
Saldo obrotów towarowych wg kraju pochodzenia,223,1144,262
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,751,257
Przewidywane zatrudnienie,174,776,256
Saldo obrotów towarowych wg kraju wysyłki,183,1246,256
Pozycja przedsiębiorstwa wobec konkurencji na rynku krajowym - przetwórstwo przemysłowe,162,786,250
Wskaźniki cen towarów i usług konsumpcyjnych,305,737,272
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,101,282
Bieżący zagraniczny portfel zamówień (strumień) - przetwórstwo przemysłowe,149,2,254
Przewidywane ceny,171,777,251
Przewidywane źródła finansowania działalności usługowej - kredyt bankowy zagraniczny,176,819,250
Odsetek przedsiębiorstw kupujących usługi w chmurze obliczeniowej,345,14,282
Przewidywana produkcja,168,751,256
Zasiłki i świadczenia przedemerytalne,291,16,261
Bieżąca sprzedaż,137,958,257
Produkcja budowlano-montażowa,392,93,258
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,16,270
Przeciętne ceny skupu produktów rolnych,318,774,258
Eksport towarów,220,1116,264
Przeciętna miesięczna emerytura i renta brutto z pozarolniczego systemu ubezpieczeń społecznych,287,16,257
Bieżący popyt - usługi,143,819,248
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,777,248
Odsetek osób korzystających z Internetu w kontaktach z administracją publiczną,364,141,282
Mieszkania oddane do użytkowania,381,109,282
Przewidywana sprzedaż,169,804,249
Wskaźniki cen towarów i usług konsumpcyjnych,305,736,273
Import towarów wg kraju pochodzenia,221,1144,258
Bariery działalności w przetwórstwie przemysłowym,135,811,255
Miejsca w placówkach instytucjonalnej pieczy zastępczej,270,595,282
Produkcja budowlano-montażowa,392,95,282
Odsetek przedsiębiorstw korzystających z mediów społecznościowych,335,10,282
Saldo obrotów towarowych wg kraju wysyłki,183,1144,251
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,935,255
Mieszkania oddane do użytkowania,381,117,276
Pozycja przedsiębiorstwa wobec konkurencji na innych rynkach zagranicznych poza krajami Unii Europejskiej - przetwórstwo przemysłowe,160,796,247
Eksport towarów,220,1136,250
Import towarów wg kraju pochodzenia,221,1198,269
Sprzedaż hurtowa towarów,110,832,255
Import towarów wg kraju pochodzenia,221,1116,264
Absolwenci,436,1270,282
Bieżąca sytuacja finansowa przedsiębiorstwa,141,776,247
Bieżący stan zapasów wyrobów gotowych - przetwórstwo przemysłowe,148,751,257
Import towarów wg kraju pochodzenia,221,1246,264
Źródła finansowania środków obrotowych w działalności handlowej - kredyt kupiecki,198,834,255
Przewidywane ceny,171,803,253
Przewidywane zatrudnienie,174,803,248
Przewidywane nakłady inwestycyjne - handel,172,834,254
Import towarów wg kraju wysyłki,222,1199,260
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,2,251
Współczynnik feminizacji,9,429,282
Udzielone noclegi w turystycznych obiektach noclegowych,94,1283,272
Pozycja przedsiębiorstwa wobec konkurencji na innych rynkach zagranicznych poza krajami Unii Europejskiej - przetwórstwo przemysłowe,160,786,247
Saldo obrotów towarowych wg kraju wysyłki,183,1136,256
Obecna możliwość oszczędzania pieniędzy,470,16,257
Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym,384,16,282
Import towarów wg kraju wysyłki,222,1136,256
Saldo obrotów towarowych wg kraju pochodzenia,223,1116,264
Zatrudnieni na podstawie stosunku pracy w organizacjach non-profit,85,334,322
Wskaźnik ogólnego klimatu koniunktury,184,960,248
Pozwolenia na budowę i zgłoszenia z projektem budowlanym budowy nowych budynków mieszkalnych,390,113,276
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa,139,777,251
Członkowie Polskiej Akademii Nauk,421,17,282
Sprzedaż detaliczna towarów,109,827,249
Sprzedaż detaliczna towarów,109,849,259
Przyrost naturalny na 1000 ludności,24,1193,278
Pracujący w sektorze przedsiębiorstw,377,2,256
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,2,259
Eksport towarów,220,1116,266
Przychody organizacji non-profit,88,365,323
Przewidywane zamówienia u dostawców - handel,173,834,247
Saldo obrotów towarowych wg kraju wysyłki,183,1199,250
Saldo obrotów towarowych wg kraju wysyłki,183,1243,282
Relacje ceny skupu 1 kg żywca wieprzowego do cen produktów rolnych,321,783,252
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,803,255
Przewidywany popyt,179,777,254
Źródła finansowania środków obrotowych w działalności handlowej - kredyt bankowy,197,757,251
Saldo obrotów towarowych wg kraju pochodzenia,223,1194,263
Bezrobotni - BAEL (do 2020 r.),367,1164,273
Bieżący stan zapasów wyrobów gotowych - przetwórstwo przemysłowe,148,751,254
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,2,265
Zapasy wybranych wyrobów u producentów,111,848,335
Źródła finansowania inwestycji - kredyt bankowy zagraniczny,193,751,328
Przeciętne miesięczne wynagrodzenie brutto w sektorze przedsiębiorstw,376,1242,269
Wskaźniki cen towarów i usług konsumpcyjnych,305,739,257
Przewidywane ceny,171,777,254
Źródła finansowania środków obrotowych w działalności handlowej - kredyt kupiecki,198,834,247
Bieżąca sytuacja finansowa przedsiębiorstwa,141,751,251
Absolwenci uczelni,450,989,282
Saldo obrotów towarowych wg kraju wysyłki,183,1199,247
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,263
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa,167,960,250
Saldo obrotów towarowych wg kraju wysyłki,183,1136,259
Zagwarantowany okres działania przedsiębiorstwa - usługi,190,819,255
Eksport towarów,220,1243,263
Przewidywany portfel zamówień krajowy i zagraniczny - przetwórstwo przemysłowe,180,2,250
Saldo obrotów towarowych wg kraju wysyłki,183,1198,262
Produkcja budowlano-montażowa,392,93,274
Eksport towarów,220,1194,253
Udzielone noclegi w turystycznych obiektach noclegowych,94,1304,250
Ogólny wskaźnik syntetyczny koniunktury gospodarczej GUS (SI),157,936,247
Renty socjalne,290,16,282
Przewidywany zagraniczny portfel zamówień - przetwórstwo przemysłowe,182,796,249
Wskaźniki cen usług transportu, gospodarki magazynowej i telekomunikacji,327,605,252
Import towarów wg kraju pochodzenia,221,1194,255
Powierzchnia użytkowa mieszkań oddanych do użytkowania,387,118,266
Import towarów wg kraju pochodzenia,221,1246,282
Przeciętne zatrudnienie w sektorze przedsiębiorstw,375,12,248
Przewidywane nakłady inwestycyjne - handel,172,757,255
Przewidywany popyt,179,804,247
Wskaźnik ufności koniunktury gospodarczej – budownictwo,185,16,250
